company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
Toyota Kirloskar Motor,4.3,1.6k,4.4k,78,--,Automobile,Bangalore / Bengaluru +89 other locations,164,33
Satin Creditcare Network,3.9,1.6k,3.1k,64,1,NBFC,Gurgaon / Gurugram +322 other locations,129,33
Godrej Industries Group,3.9,1.5k,3k,147,3,Real Estate,Mumbai +148 other locations,155,33
Veritas Finance,4.4,1.5k,2.1k,88,--,NBFC,Chennai +297 other locations,36,33
Teva Pharmaceuticals,3.9,1.5k,5.6k,115,35,Pharma,Bangalore / Bengaluru +52 other locations,183,33
ZF Commercial Vehicle Control Systems,3.9,1.5k,3.7k,77,--,Auto Components,Chennai +48 other locations,6,33
Goldman Sachs,3.3,1.5k,19.4k,408,210,Financial Services,Bangalore / Bengaluru +22 other locations,100,33
KFC,4.1,1.5k,3k,84,--,Hospitality,New Delhi +172 other locations,153,33
Dixon Technologies,3.9,1.5k,5.6k,140,3,Electronics Manufacturing,Noida +46 other locations,116,33
Sanofi,4.0,1.5k,5.6k,96,65,Pharma,Hyderabad / Secunderabad +91 other locations,163,33
iOPEX Technologies,3.2,1.5k,5.7k,87,41,IT Services & Consulting,Chennai +16 other locations,530,33
Mercer,3.6,1.5k,9.7k,96,78,Management Consulting,New Delhi +17 other locations,205,33
Supreme Industries,4.1,1.5k,5.6k,94,2,Petrochemicals,Gwalior +121 other locations,113,33
Greenko Group,3.9,1.5k,3.6k,67,3,Power,Hyderabad / Secunderabad +226 other locations,95,33
NielsenIQ,3.5,1.5k,9.4k,223,28,Analytics & KPO,Chennai +54 other locations,57,33
Cemindia Projects,4.2,1.5k,2.5k,91,3,Engineering & Construction,Mumbai +88 other locations,137,33
Shriram Life Insurance,3.5,1.5k,4.7k,109,39,Insurance,Hyderabad / Secunderabad +321 other locations,81,33
Relaxo Footwear,4.0,1.5k,4.5k,107,49,Fashion & Textile,New Delhi +156 other locations,142,33
Dainik Bhaskar Group,4.2,1.5k,4.4k,78,53,Printing & Publishing,Bhopal +137 other locations,148,33
Asahi India Glass,3.8,1.5k,5.1k,108,99,Auto Components,Chennai +87 other locations,129,34
Bajaj Capital,3.6,1.5k,3.8k,166,95,Financial Services,New Delhi +173 other locations,101,34
Broadridge Financial Solutions,3.8,1.5k,10.7k,160,49,FinTech,Hyderabad / Secunderabad +14 other locations,140,34
HCL Infosystems,4.0,1.5k,7.2k,146,3,IT Services & Consulting,Noida +104 other locations,229,34
Marriott International,4.1,1.5k,4.6k,100,1.4k,Hospitality,Bangalore / Bengaluru +90 other locations,184,34
Suguna Foods,4.0,1.5k,4.1k,94,16,Food Processing,Coimbatore +201 other locations,135,34
IFB,3.6,1.5k,5.3k,120,--,Consumer Electronics & Appliances,Bangalore / Bengaluru +175 other locations,57,34
Amul India,4.0,1.5k,4.1k,154,2,Food Processing,Ahmedabad +206 other locations,3,34
IndiaFirst Life Insurance,3.8,1.5k,3.9k,81,53,Insurance,Mumbai +242 other locations,102,34
Urban Company,3.4,1.5k,6.5k,162,66,Internet,Gurgaon / Gurugram +59 other locations,96,34
Nayara Energy,4.2,1.5k,6k,96,--,Oil & Gas,Jamnagar +97 other locations,168,34
Oracle Cerner,3.4,1.5k,10.2k,169,--,Software Product,Bangalore / Bengaluru +7 other locations,254,34
Tesco,3.6,1.5k,8.7k,149,5,Retail,Bangalore / Bengaluru +17 other locations,189,34
Gujarat Fluorochemicals,3.9,1.5k,6.5k,106,7,Chemicals,Bharuch +32 other locations,129,34
Muthoot Microfin,4.2,1.5k,2.4k,83,11,NBFC,Kochi +405 other locations,64,34
